gene_name	locus_tag
tagO	BSU35530
sufC	BSU32710
CONTROL	CONTROL
dfrA	BSU21810
yufL	BSU31520
ypdP	BSU21980
spsA	BSU37910
dnaB	BSU28990
ylbQ	BSU15110
yjcG	BSU11850
rpsH	BSU01300
tagB	BSU35760
ispF	BSU00910
mrpE	BSU31640
cshA	BSU04580
mreD	BSU28010
yvrH	BSU33221
murAA	BSU36760
yorT	BSU20260
ykvA	BSU13630
ndhF	BSU01830
rsiW	BSU01740
mrpD	BSU31630
ydeB	BSU05130
rpsD	BSU29660
dapL	BSU14190
pnpA	BSU16690
yflE	BSU07710
yozB	BSU19140
glmM	BSU01770
treA	BSU07810
med	BSU11300
ylxL	BSU16480
sul	BSU00770
yxlD	BSU38680
yabP	BSU00600
yqeH	BSU25670
spsE	BSU37870
spsK	BSU37820
spoIIAB	BSU23460
rplU	BSU27960
spsC	BSU37890
divIC	BSU00620
yhbE	BSU08950
yabT	BSU00660
prfB	BSU35290
mrpA	BSU31600
hag	BSU35360
ispE	BSU00460
mrpF	BSU31650
plsX	BSU15890
mreC	BSU28020
tkt	BSU17890
groES	BSU06020
thiU	BSU13240
hemB	BSU28130
pbpA	BSU25000
mrpG	BSU31660
spsD	BSU37880
yqzC	BSU24940
cmk	BSU22890
aroK	BSU03150
rsbW	BSU04720
spsF	BSU37860
holB	BSU00310
yneF	BSU17910
nadD	BSU25640
ssuC	BSU08850
ribC	BSU16670
spoIIAA	BSU23470
ytcD	BSU29030
ykvZ	BSU13870
ykvY	BSU13860
nrdR	BSU29000
yqcF	BSU25870
ftsE	BSU35260
menE	BSU30790
prsA	BSU09950
dacA	BSU00100
aroC	BSU23080
divIB	BSU15240
sacX	BSU38410
spsB	BSU37900
rplR	BSU01320
scpA	BSU23220
yrdR	BSU26620
yqhY	BSU24330
coaE	BSU29060
ydiO	BSU06060
yqaD	BSU26360
iscU	BSU32680
yxxD	BSU39290
rok	BSU14240
rnz	BSU23840
dnaI	BSU28980
ansB	BSU23570
pgcA	BSU09310
yyaN	BSU40800
resD	BSU23120
sufS	BSU32690
hemY	BSU10140
yhdL	BSU09510
nadE	BSU03130
coaBC	BSU15700
yxlC	BSU38690
pdhB	BSU14590
yqaM	BSU26260
yezG	BSU06811
ylaH	BSU14780
